PlayerPos,ObstacleXPos,CoinXPos
431.4,488,431
495,304,495
560.4,483,560
559.8,483,560
396,310,396
395.4,310,396
262.2,310,278
261.6,299,539
538.8,299,539
495,550,495
495,550,495
504,550,526
503.4,398,513
513,398,513
442.8,580,366
366,580,366
322.2,580,322
369,585,429
428.4,585,429
242.4,325,242
241.8,325,242
179.4,321,179
178.8,321,179
436.2,321,436
361.8,341,293
292.8,341,293
301.2,560,546
444.6,560,429
429,560,429
462,243,554
553.8,243,554
347.4,501,344
344.4,501,344
262.2,609,262
262.2,609,262
569.4,609,570
573,181,584
583.8,181,584
421.8,393,422
421.8,393,422
568.2,393,568
509.4,575,403
403.2,575,403
325.8,188,326
326.4,188,326
242.4,625,242
242.4,625,242
221.4,625,221
361.2,189,622
610.2,189,622
319.2,204,219
224.4,204,219
436.2,204,436
379.2,322,281
281.4,322,281
292.2,452,292
291.6,452,292
240.6,564,240
240,564,240
265.8,564,266
387,215,579
579,215,579
354.6,231,355
355.2,231,355
357,231,357
393,621,584
584.4,621,584
527.4,597,528
528,597,528
433.8,531,434
433.8,531,434
439.2,531,439
352.2,201,318
318.6,201,318
380.4,273,381
380.4,273,381
491.4,488,491
490.8,488,491
195,488,195
324.6,453,469
469.2,453,469
451.2,401,443
451.2,366,443
443.4,366,443
601.2,388,601
601.2,388,601
313.8,388,314
339.6,575,426
426,575,426
359.4,605,359
359.4,605,359
410.4,605,411
449.4,503,516
548.4,503,555
554.4,520,555
555,520,555
589.8,198,590
590.4,198,590
510,198,510
410.4,538,410
409.8,538,410
427.8,324,428
428.4,324,428
505.8,324,506
467.4,285,338
338.4,285,338
529.2,323,529
528.6,323,529
427.2,373,427
426.6,373,427
509.4,373,509
528.6,447,529
528.6,447,529
484.2,465,417
417,465,417
618.6,465,619
543,603,317
316.8,603,317
232.2,583,232
232.2,583,232
183,583,183
185.4,408,190
190.2,408,190
353.4,314,560
560.4,314,560
345.6,268,188
209.4,268,584
584.4,268,584
577.2,439,577
577.2,439,577
469.2,396,262
262.2,396,262
282,286,282
282.6,286,282
506.4,286,506
414.6,249,291
291,249,291
529.8,577,584
583.8,577,584
514.8,577,515
523.8,272,555
554.4,272,555
439.8,375,440
439.8,375,440
469.8,274,470
558,348,558
557.4,348,558
397.2,405,360
360.6,405,360
452.4,405,189
452.4,358,189
189,358,189
311.4,490,411
410.4,490,411
378.6,490,379
417,462,539
539.4,462,539
506.4,355,432
431.4,355,432
551.4,555,552
552,555,552
326.4,555,326
498,210,624
624,210,624
328.2,193,328
327.6,193,328
478.2,193,478
370.2,507,198
198.6,507,198
398.4,567,398
397.8,567,398
528,530,623
554.4,530,353
352.8,530,353
407.4,357,407
406.8,357,407
523.8,489,524
524.4,489,524
554.4,489,555
574.2,334,574
574.2,334,574
424.2,467,424
423.6,467,424
204,467,204
205.8,625,472
471.6,625,472
313.8,223,314
313.8,223,314
477.6,445,478
478.2,445,478
409.2,445,409
325.2,249,224
219,249,224
219.6,470,271
270.6,470,271
440.4,569,612
499.2,569,453
453,569,453
361.8,301,274
273.6,301,274
228.6,520,228
228,520,228
286.2,520,286
294.6,268,322
322.2,268,322
312.6,458,313
313.2,458,313
538.2,349,538
398.4,323,351
351,323,351
372,221,365
365.4,221,365
357.6,221,357
375.6,231,375
375,231,375
485.4,214,486
486,214,486
487.8,214,488
547.8,473,548
547.8,473,548
518.4,573,386
385.8,573,386
261.6,573,261
269.4,184,269
269.4,184,269
296.4,371,296
296.4,371,296
510.6,237,511
510.6,237,511
277.8,237,566
384.6,297,566
565.8,297,566
337.2,226,300
300.6,226,300
425.4,226,425
466.8,518,601
600.6,518,601
556.2,566,329
352.2,566,329
521.4,229,521
520.8,229,521
526.8,229,527
391.8,255,340
339.6,255,340
289.8,380,176
186,380,176
346.2,380,369
346.2,475,558
558,475,558
508.2,457,379
379.2,457,379
423.6,448,424
423.6,448,424
251.4,448,251
315.6,496,316
316.2,496,316
465.6,616,620
619.8,616,412
411.6,294,412
412.2,294,412
250.8,294,251
327,216,327
538.8,299,555
555,299,555
348,531,244
244.2,531,430
429.6,531,430
442.8,323,443
443.4,323,443
370.2,486,179
202.8,486,179
364.2,486,364
394.2,430,539
539.4,430,539
475.2,288,304
304.2,288,304
425.4,229,425
425.4,229,425
323.4,229,323
463.2,502,463
462.6,502,463
408.6,546,409
408.6,546,409
213.6,546,213
287.4,177,287
286.8,177,287
322.8,581,323
322.8,581,323
542.4,365,580
576.6,365,473
473.4,365,473
557.4,416,558
557.4,416,558
453,420,246
285,420,260
259.8,390,260
259.8,390,260
232.2,390,232
354.6,184,530
529.8,184,530
366.6,227,366
366,227,366
522,227,522
432.6,549,191
190.8,549,191
438,233,594
583.8,233,594
285.6,233,285
296.4,604,494
494.4,604,494
536.4,191,537
537,191,537
222,349,205
204.6,349,205
214.8,349,215
297,237,355
354.6,237,355
467.4,195,468
467.4,195,468
335.4,421,335
334.8,421,335
507.6,421,508
588,307,588
508.2,376,508
507.6,376,508
480.6,288,481
481.2,288,481
510.6,288,511
617.4,522,617
616.8,522,617
568.8,514,357
409.2,514,233
233.4,514,233
271.2,617,522
521.4,617,522
491.4,490,491
491.4,490,491
224.4,247,224
224.4,247,224
554.4,247,554
383.4,223,196
195.6,223,196
415.2,436,415
415.2,436,415
258.6,436,258
208.8,267,209
209.4,267,209
227.4,524,539
431.4,524,620
619.8,476,620
619.8,476,620
405,476,405
438,505,597
597,505,597
542.4,387,182
380.4,387,365
351,387,365
346.8,344,332
309,344,332
309.6,550,441
441,550,441
516,508,601
590.4,508,601
260.4,508,260
187.2,306,187
187.2,306,187
250.2,255,250
250.2,255,250
488.4,255,489
479.4,406,283
283.2,406,283
376.2,216,531
531,216,531
618.6,393,619
618.6,393,619
595.2,393,595
528,505,528
532.2,505,528
614.4,421,615
615,421,615
530.4,218,530
530.4,218,530
369.6,218,369
418.8,293,419
419.4,293,419
523.2,284,523
522.6,284,523
416.4,293,417
612.6,557,613
613.2,557,613
277.8,561,278
278.4,561,278
508.2,561,508
343.8,592,218
218.4,592,218
544.8,362,580
580.2,362,580
303.6,362,303
315.6,573,421
421.2,573,421
317.4,427,317
316.8,427,317
481.8,427,482
470.4,413,325
325.2,413,325
370.2,365,387
387,365,387
445.2,369,445
445.2,369,445
551.4,369,552
410.4,570,229
229.2,570,229
318.6,305,318
318.6,305,318
343.8,305,322
343.8,412,316
315.6,412,316
237.6,473,238
237.6,473,238
178.8,473,179
195.6,568,195
195.6,568,195
398.4,377,414
413.4,377,414
429.6,553,430
429.6,553,430
344.4,553,344
471.6,207,520
519.6,207,520
268.8,527,269
269.4,527,269
266.4,527,266
316.2,491,349
349.2,491,349
343.8,469,344
343.8,469,344
438.6,226,501
475.8,226,501
596.4,226,596
481.8,365,218
217.8,365,218
360.6,433,361
382.8,341,525
525,341,525
390,231,339
348.6,231,339
506.4,231,506
416.4,412,417
417,412,417
309,428,309
309.6,428,309
269.4,428,269
379.8,341,622
621.6,341,622
386.4,324,201
201.6,324,273
273,494,273
273,494,273
450.6,494,302
352.8,398,302
302.4,398,302
355.8,296,552
552,296,476
475.8,251,476
476.4,251,476
420,251,420
436.8,610,437
436.8,610,437
228,184,228
228.6,184,228
310.2,184,310
387,293,516
516,293,516
576.6,318,577
576.6,318,577
423,318,423
429,278,538
538.2,278,538
366.6,348,232
232.2,348,232
183,625,183
183.6,625,183
589.2,625,615
503.4,422,259
259.2,422,259
372,312,372
372.6,312,372
410.4,312,411
402,571,247
247.2,571,247
409.2,309,579
579,309,579
620.4,606,620
619.8,606,620
302.4,606,302
382.2,418,397
391.2,418,397
217.8,296,218
246,282,342
342.6,282,342
596.4,511,596
595.8,511,596
392.4,511,392
259.2,304,259
258.6,304,259
257.4,369,257
256.8,369,257
444.6,369,445
556.2,421,605
605.4,421,605
465.6,418,221
257.4,418,435
373.8,580,435
407.4,580,435
622.8,580,598
622.8,446,622
621.6,446,622
533.4,420,533
532.8,420,533
519,420,519
461.4,535,429
429,535,429
357.6,509,357
357,509,357
470.4,515,585
523.2,515,521
553.2,515,205
552.6,456,205
205.2,456,205
279,460,279
279,460,279
375,421,375
375.6,421,375
618,421,618
469.8,529,260
260.4,529,260
389.4,358,390
389.4,358,390
569.4,358,569
497.4,498,347
347.4,498,347
198,308,198
198.6,308,198
418.8,416,419
418.8,416,419
476.4,416,477
459.6,400,460
460.2,400,460
602.4,598,602
602.4,598,602
508.2,598,508
515.4,401,515
514.8,401,515
520.2,248,520
519.6,248,520
576.6,392,577
576.6,392,577
367.2,392,372
241.8,428,242
241.8,428,242
288.6,552,288
288.6,552,288
432.6,552,433
390.6,319,255
255,319,255
217.8,565,218
218.4,565,218
492.6,229,493
493.2,229,493
484.8,229,485
430.8,319,431
431.4,319,431
389.4,271,389
389.4,271,389
