PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
410.4,563,724.4,411,723,1
474,563,850.8,474,107,1
473.4,424,442,474,723,0
467.4,424,450,435,-40,0
458.4,424,550,435,85,0
458.4,424,850.8,435,460,1
434.4,242,159.6,435,723,0
403.8,242,450,404,313,0
404.4,242,550,404,438,0
403.8,242,778,404,723,1
349.2,242,850.8,255,40,1
255,592,450,255,666,0
255.6,592,495.6,255,723,0
296.4,592,550,395,18,0
394.8,592,850.8,395,393,1
395.4,206,213.2,395,723,0
401.4,206,450,401,246,0
400.8,206,550,401,371,0
400.8,206,831.6,401,723,1
415.2,206,850.8,451,-27,1
425.4,459,450,451,599,0
424.8,459,550,451,724,0
425.4,459,562,451,739,0
315.6,459,850.8,315,310,1
315.6,576,279.6,315,723,0
443.4,576,450,510,163,0
510,576,550,510,288,0
510,576,850.8,510,663,1
509.4,620,-2.8,510,723,0
414.6,620,450,415,516,0
415.2,620,550,415,641,0
415.2,620,615.6,415,723,1
529.2,620,850.8,529,243,1
528.6,318,333.2,529,723,0
526.2,318,450,526,96,0
525.6,318,550,526,221,0
525.6,318,850.8,526,596,1
525.6,195,50.8,526,723,0
227.4,195,450,181,449,0
226.8,195,550,181,574,0
226.8,195,770.8,181,850,1
286.8,195,850.8,518,49,1
517.8,276,450,518,675,0
517.8,276,488.4,518,723,0
471.6,276,550,327,27,0
327.6,276,850.8,327,402,1
327.6,420,206,327,723,0
388.2,420,450,394,255,0
387.6,420,550,394,380,0
388.2,420,824.4,394,723,1
387.6,420,850.8,405,-18,1
405,497,450,405,608,0
404.4,497,542,405,723,0
410.4,497,550,522,-40,0
464.4,497,850.8,522,335,1
521.4,507,259.6,522,723,0
447,507,450,447,188,0
446.4,507,550,447,313,0
446.4,507,850.8,447,688,1
446.4,466,-22.8,447,723,0
517.8,466,450,518,541,0
518.4,466,550,518,666,0
517.8,466,595.6,518,723,0
496.8,466,850.8,451,268,1
451.2,575,313.2,451,723,0
348.6,575,450,184,121,0
273.6,575,550,184,246,0
183.6,575,850.8,184,621,1
184.2,575,30.8,184,723,0
321,575,450,321,474,0
321.6,575,550,321,599,0
321.6,575,649.2,321,723,1
472.8,575,850.8,476,201,1
475.8,408,366.8,476,723,0
453,408,450,453,54,0
452.4,408,550,453,179,0
452.4,408,850.8,453,554,1
452.4,386,84.4,453,723,0
193.8,386,450,194,407,0
194.4,386,550,194,532,0
193.8,386,702.8,194,723,1
187.2,386,850.8,187,134,1
187.2,612,420.4,187,723,0
209.4,612,450,403,-13,0
284.4,612,550,403,112,0
403.2,612,850.8,403,487,1
402.6,412,138,403,723,0
473.4,412,450,474,340,0
474,412,550,474,465,0
474,412,756.4,474,723,1
442.8,412,850.8,292,67,1
292.2,516,450,292,693,0
292.2,516,474,292,723,0
